country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_market_value,second_striker_age,left_midfield_market_value,right_midfield_market_value,left_midfield_age,right_midfield_age
South Korea,2018,1662500,1435000,765625,1616666.6666666665,1810000,775000,5516666.666666666,850000,1375000,500000,25.333333333333332,27.2,26,25.333333333333332,25.2,26.5,26,27.25,26,26.2,NA,NA,NA,NA,NA,NA
South Korea,2019,3142857.142857143,883333.3333333333,766666.6666666666,2890000,1412500,1050000,11412500,633333.3333333334,1975000,662500,25,25.166666666666668,25.666666666666668,28.6,28,28.75,26.333333333333332,30,28.5,30,NA,NA,NA,NA,NA,NA
Botswana,2018,NA,100000,NA,125000,NA,250000,NA,NA,100000,NA,NA,21,NA,32,NA,27,NA,NA,23,NA,400000,27,NA,NA,NA,NA
Botswana,2019,NA,100000,200000,250000,NA,250000,100000,250000,250000,NA,NA,24,24.5,24,NA,30,27,26,26,NA,150000,29,NA,NA,NA,NA
Portugal,2018,20500000,14491666.666666666,5162500,43000000,17500000,8000000,14750000,9666666.666666666,10250000,14666666.666666666,25.8,24.333333333333332,29.75,28,22.5,29.25,22,24.333333333333332,25.25,24.333333333333332,10000000,24,NA,NA,NA,NA
Portugal,2019,33250000,19333333.333333332,7812500,28960000,32500000,6866666.666666666,16250000,17500000,NA,36666666.666666664,25.5,26,27,28,23.5,30.333333333333332,22.75,26,NA,24.666666666666668,13500000,22,NA,NA,NA,NA
Lithuania,2018,150000,300000,240000,216666.66666666666,550000,432142.85714285716,1500000,212500,837500,150000,23,25.75,30.6,30.666666666666668,27.666666666666668,27.714285714285715,28,31.5,25.5,26,125000,23,266666.6666666667,175000,25.333333333333332,22
Lithuania,2019,NA,318750,195000,256250,600000,420833.3333333333,1800000,341666.6666666667,425000,191666.66666666666,NA,25.75,28.6,27.25,25.5,27.333333333333332,27,30,23,26,NA,NA,325000,175000,24.5,21
South Africa,2018,456250,1081250,508333.3333333333,325000,1355000,650000,862500,350000,366666.6666666667,262500,25.75,24.5,26.333333333333332,24.5,26.8,26.5,24,24.666666666666668,22.666666666666668,24,NA,NA,NA,NA,NA,NA
South Africa,2019,768750,1108333.3333333333,681250,1343750,779166.6666666666,462500,875000,916666.6666666666,4000000,950000,28.5,28,28.875,28.25,29.666666666666668,27.25,26.5,27,26,28.5,NA,NA,NA,NA,NA,NA
